event_id,event_id,charge,X,Y,Z,R
4.0,4.0,26575.0,-71.29727187206021,111.33634995296332,202.40632173095014,141.7206
12.0,12.0,26971.0,-119.77251492343629,-235.98624448481704,450.47970041896855,282.2458
14.0,14.0,27139.0,156.18003611039464,25.202347175651276,417.99016175982905,167.24754
18.0,18.0,25993.0,-78.30437040741738,108.04985957757857,1018.5124071865503,142.35123
19.0,19.0,26704.0,266.7905931695626,-1.1145895745955663,559.6779134212103,284.51218
22.0,22.0,26727.0,164.73833576533093,104.89615370224867,1043.030867661915,207.00604
29.0,29.0,27038.0,-109.95408314224424,245.82807530142762,335.4643094903469,287.02444
34.0,34.0,26140.0,27.076931905126244,-189.515493496557,952.4441469013007,203.3731
36.0,36.0,26642.0,-238.30990541250657,-12.40856542301629,847.3629982734029,253.17978
37.0,37.0,26884.0,143.11438030055052,174.86590537122453,162.275814610921,240.24896
38.0,38.0,27604.0,-18.523094479061005,214.70238008984205,1016.3577742356181,229.58165
41.0,41.0,26762.0,-75.78306927733354,-81.29594200732382,226.29504521336224,118.862976
42.0,42.0,27113.0,-112.33563235348358,29.510474680042783,382.60745767712905,123.44947
44.0,44.0,26942.0,18.2745156261599,94.35749016405612,1006.9178605894143,101.732414
46.0,46.0,27078.0,-69.52666371223872,113.68692296329124,848.640519979319,143.44133
55.0,55.0,27094.0,-141.89687753746216,140.21366354174356,403.9317930169041,211.45528
56.0,56.0,26048.0,135.104460995086,-44.529330466830466,709.4168842137592,151.25755
60.0,60.0,26510.0,-201.54652961146738,133.39752923425124,1049.3122595247078,257.48898
61.0,61.0,26707.0,270.94982588834387,-68.94857153555247,893.2346201370427,298.026
62.0,62.0,26832.0,166.55353682170542,192.67139982110913,210.1703562909958,271.70682
66.0,66.0,27341.0,180.64613583994733,-185.0359533301635,925.482425661095,277.45154
68.0,68.0,26396.0,-82.14670783452038,-13.655383391422943,497.9424534020306,89.58896
71.0,71.0,26720.0,134.70441616766468,-8.037949101796407,523.2310254491018,145.84967
81.0,81.0,26109.0,-214.4673292734306,14.472136045041939,395.6802635106668,228.61092
83.0,83.0,26771.0,266.03817563781706,41.856841358186095,801.7709835269508,287.05765
85.0,85.0,27193.0,-209.5200419225536,-52.539513845474936,1095.2138785716913,229.68195
86.0,86.0,27231.0,57.543259520399545,-253.4196136755903,678.8585802945173,275.55063
87.0,87.0,27029.0,135.9218247067964,-166.73720818380258,790.3514003477746,229.22011
88.0,88.0,26744.0,-25.4533914148968,-144.00542177684716,1155.578559676937,156.28403
89.0,89.0,27362.0,177.9007199766099,-197.6217016299978,910.6021489657189,281.0679
90.0,90.0,26053.0,57.256496372778564,30.531800560396114,115.42709093002725,68.91748
91.0,91.0,27058.0,139.63561608396776,193.8816061793185,205.7633232315766,256.1188
93.0,93.0,26722.0,-199.28048050295638,-16.412094903076117,463.2002095651523,212.62099
94.0,94.0,26735.0,-166.89233214886852,195.0191883299046,449.9976809425846,272.89957
