event_id,event_id,charge,X,Y,Z,R
4.0,4.0,19059.0,-77.00844745264705,118.6797313605121,202.04706437903351,141.7206
12.0,12.0,19198.0,-126.86014168142515,-251.64704656735077,450.27612251276173,282.2458
14.0,14.0,19458.0,164.97199095487719,26.580789392537774,417.59307225819714,167.24754
18.0,18.0,18595.0,-83.37397149771444,115.34452809895133,1016.8966388814198,142.35123
19.0,19.0,18976.0,284.29827150084316,-0.9015598650927488,559.1763279932546,284.51218
22.0,22.0,19270.0,175.20033731188374,110.3940321743643,1042.648728593669,207.00604
29.0,29.0,19432.0,-115.36941642651297,262.70082853025934,335.10631947303415,287.02444
34.0,34.0,18722.0,29.65353594701421,-201.55696506783462,951.8773635295374,203.3731
36.0,36.0,18881.0,-252.62062390763202,-14.754832900799746,847.0416291509983,253.17978
37.0,37.0,19195.0,152.16566814274552,186.08494399583225,161.98322479812452,240.24896
38.0,38.0,19643.0,-18.784681565952248,228.97800743267322,1015.793870590032,229.58165
41.0,41.0,19224.0,-80.99211922596754,-86.21171452351227,225.7060965459842,118.862976
42.0,42.0,19257.0,-119.8980370774264,31.43420574336605,381.80251337176094,123.44947
44.0,44.0,19333.0,17.44532664356282,100.23346092174003,1006.4074380592768,101.732414
46.0,46.0,19286.0,-74.7218967126413,122.83428393653428,847.4660893912683,143.44133
55.0,55.0,19430.0,-149.63409675759135,149.2340195573855,403.5084405558415,211.45528
56.0,56.0,18741.0,143.76463369083828,-48.3058267968625,709.0608291980151,151.25755
60.0,60.0,19005.0,-214.87661141804787,141.53609576427257,1048.8531439094975,257.48898
61.0,61.0,18746.0,289.1891336818521,-74.01362957430919,892.5824175824176,298.026
62.0,62.0,19189.0,176.75227995205586,205.22122049090626,209.49997394340508,271.70682
66.0,66.0,19450.0,193.47244215938304,-198.40807197943445,924.6320822622108,277.45154
68.0,68.0,19073.0,-88.27531064856079,-14.799349866303151,497.52241388350023,89.58896
71.0,71.0,18993.0,145.31809087558574,-8.595113989364503,522.7200547570158,145.84967
81.0,81.0,18562.0,-227.85656179291024,15.89179506518694,395.24453183924146,228.61092
83.0,83.0,19180.0,283.5536496350365,44.533941605839416,801.3260166840458,287.05765
85.0,85.0,19405.0,-222.75186807523835,-55.933084256634885,1094.5357897449112,229.68195
