event_id,event_id,charge,X,Y,Z,R
2.0,2.0,66667.0,-190.96365143174285,39.22488262558687,822.3656231718842,194.76746
6.0,6.0,66771.0,93.6493799703464,-198.7439344925192,661.9017088256878,219.39764
7.0,7.0,66634.0,33.93699912957349,140.16283729027222,756.7834739022121,143.9801
9.0,9.0,65795.0,172.8257656356866,-37.33124477543886,542.0851432479672,177.02261
11.0,11.0,67513.0,97.22376060906788,147.51748181831647,122.8440596625835,176.73848
14.0,14.0,66074.0,142.4153222144868,240.57909313799678,350.9576232708781,278.55618
15.0,15.0,65925.0,-57.94372013651877,231.57002275312857,1096.4254683352294,238.19086
17.0,17.0,66446.0,-72.91013755530807,-214.79649640309424,1182.2864431267496,226.20352
19.0,19.0,67218.0,-136.02603469308815,-200.89924573774883,980.7928977357255,242.6765
20.0,20.0,66419.0,15.987959017750946,44.679395203179816,261.47536096598867,47.665848
22.0,22.0,66609.0,113.23576768905103,-270.91052635529735,1132.9613115344773,293.70682
25.0,25.0,66958.0,2.5628005615460436,-26.661257803399145,1097.3710534962215,26.676582
27.0,27.0,67166.0,-65.80805764821487,251.42253521126761,242.34304558854183,259.88687
29.0,29.0,66886.0,-32.25738570104357,290.70319648356906,332.3060431181413,292.4948
30.0,30.0,66376.0,28.200012052549113,280.96501747619624,953.3000180788237,282.06305
31.0,31.0,65946.0,33.15904679586328,140.09845934552513,480.99093197464595,144.21696
36.0,36.0,64770.0,8.568859039678864,-280.6585379033503,585.9673151150224,280.55823
38.0,38.0,65853.0,78.69773966258181,6.399044083033423,1151.8194463426116,78.6305
41.0,41.0,65998.0,120.15922452195521,93.71767326282615,133.88242067941454,152.58917
46.0,46.0,66610.0,161.2539558624831,-56.7829379972977,1151.004698994145,171.54163
47.0,47.0,68427.0,196.3358213862949,84.41109868911394,823.310243032721,213.84776
49.0,49.0,66078.0,121.01281818456975,21.184630285420262,429.86629437936983,123.11676
53.0,53.0,65751.0,51.43157898739182,204.19156742863225,255.2357530683944,210.13718
54.0,54.0,67164.0,122.07635042582336,-162.8001310225716,311.3294622118992,203.59622
55.0,55.0,65834.0,-111.32641947929642,-141.20348148373182,449.9105781207279,179.7087
56.0,56.0,66282.0,35.77763193627229,36.30703660118886,380.0892851754624,51.01609
57.0,57.0,68094.0,154.38212617851792,-244.50009545628103,484.817751931154,289.01303
59.0,59.0,67725.0,-14.593211517165006,75.22842746400886,217.32311554078996,76.49074
62.0,62.0,65479.0,128.20533682554714,4.5139243116113565,1155.1923670184333,128.22792
63.0,63.0,66744.0,-130.48697261177034,48.65214101642095,574.2058012705262,139.1417
66.0,66.0,66408.0,-241.91055294542826,136.3371882905674,746.8556950969763,277.0158
69.0,69.0,67150.0,-124.73631422189129,-215.51473566641846,1079.698734177215,248.29843
71.0,71.0,66756.0,-38.17044160824495,275.06615884714483,812.9703697045959,277.34656
72.0,72.0,67940.0,-37.56967912864292,-132.06597733294083,809.1065498969679,138.68303
73.0,73.0,66739.0,-85.05501655703561,-89.02168522153464,738.2733783844528,122.735085
76.0,76.0,66881.0,229.82818363959868,-19.782311119750005,440.1726050746849,230.35825
77.0,77.0,66021.0,96.42202859696157,-44.301362445282564,565.6248617864013,106.18225
81.0,81.0,67916.0,247.94621296896165,45.15764326520996,503.0635638141233,251.71521
85.0,85.0,66914.0,-61.46538093672475,201.2677466598918,1082.7591983740324,210.91194
87.0,87.0,64766.0,198.53432356483341,-46.63646048852793,1006.6078034771331,204.15782
89.0,89.0,66332.0,-205.80714436471084,-14.257530302116626,671.3373032623771,205.85672
90.0,90.0,66531.0,-126.87163502728052,-119.76183658745548,272.1042671837189,174.29974
98.0,98.0,64808.0,-87.4141695469695,104.9957026910258,855.6190285149981,136.6117
102.0,102.0,66357.0,103.66447774914478,103.74321849993218,987.4140633241407,147.23468
107.0,107.0,66448.0,-200.73799813387913,33.62062063568505,866.0476312304359,203.82132
113.0,113.0,66232.0,-245.89796473003986,-50.915358135040464,463.74802210411883,251.22241
114.0,114.0,67099.0,-289.2100888239765,66.05946809937555,175.25566699950818,295.96744
118.0,118.0,67424.0,257.686958649739,-86.00871351447556,479.6518895348837,271.43848
119.0,119.0,67313.0,-12.129733483873842,277.332963172047,129.71482477381784,277.55643
121.0,121.0,66678.0,109.59581871081916,-144.6859308917484,354.0189867722487,181.6869
134.0,134.0,67092.0,167.20304954390986,110.16157664103022,954.9673582543373,200.03946
136.0,136.0,65995.0,-165.79051822107735,197.3547427835442,415.9412379725737,257.50513
137.0,137.0,67714.0,91.38630859201938,213.71310216498804,143.71657264376643,231.92966
145.0,145.0,66488.0,205.78874383347372,-196.88606966670676,1183.4619028997713,283.90353
151.0,151.0,67242.0,-268.5171618928646,103.69113797923917,341.2048570833705,287.26624
152.0,152.0,66342.0,-46.505433963401764,-1.5652226342286937,207.18080552289652,46.66667
153.0,153.0,65981.0,-92.45032282020581,243.60550385717102,290.85974750306906,260.48328
154.0,154.0,66447.0,186.42419146086354,-156.09129456559364,298.03806040904783,243.10721
161.0,161.0,67847.0,-60.89539331142129,231.7509432988931,1123.7893790440255,239.54095
162.0,162.0,66565.0,27.14045294073462,-245.3534177120108,518.1594231202583,246.68423
169.0,169.0,65473.0,-43.59489026010722,25.673793013914132,1044.9978617139889,51.363667
170.0,170.0,67676.0,-189.9595942431586,-126.27610231101129,145.24002600626514,228.34433
172.0,172.0,66087.0,49.476239653789705,213.48862484300997,973.8281356393844,219.35027
177.0,177.0,65677.0,154.9709601534784,4.161574828326507,295.52548076191056,155.32391
179.0,179.0,66499.0,262.9460104663228,-133.66057008376066,1008.1194604430142,294.61823
182.0,182.0,66425.0,-30.00383515242755,277.70785472337224,933.4408280015055,278.96848
187.0,187.0,66023.0,109.64266619208458,89.1010746255093,385.2152431728337,140.90941
193.0,193.0,66005.0,-129.4347360048481,-62.4875577607757,1143.1400802969472,143.51134
194.0,194.0,65851.0,-180.70549801825334,-112.81214028640416,848.5384276624501,212.91098
196.0,196.0,66880.0,142.13009868421054,30.34457236842105,120.13032296650718,145.39397
199.0,199.0,65800.0,-192.68297112462005,-136.92784954407296,575.2047720364742,235.85759
1003.0,1003.0,65847.0,-110.99392910838763,14.519951554360867,966.5719774629065,112.626785
1004.0,1004.0,66358.0,84.3191325838633,-259.6421380994002,109.7726272642334,272.78864
1010.0,1010.0,67502.0,-50.89451423661521,82.82526443660929,455.08261977422893,97.059006
1015.0,1015.0,65404.0,-66.42635007033209,-0.8371429881964406,701.1907987279066,66.41226
1020.0,1020.0,66417.0,64.71921721848322,252.27826836502703,761.0199948808287,260.06042
1022.0,1022.0,65524.0,107.93284140162383,-75.20983914290947,558.2494047982418,131.33705
1023.0,1023.0,67183.0,-60.66950344581218,-175.67724349909946,167.74392331393358,185.63792
1032.0,1032.0,67060.0,92.69837458991948,-33.868796600059646,353.41847599164925,99.70045
1033.0,1033.0,64843.0,30.626008204432242,-210.03934503338834,235.45170642937558,212.39915
1035.0,1035.0,68446.0,210.29918475878796,-57.267787745083716,540.10847967741,217.74886
1039.0,1039.0,66991.0,-117.46281963248795,40.230392888596974,297.4867818065113,124.52986
1040.0,1040.0,67537.0,-125.76075706649688,6.331592312362113,235.15616624961132,125.933846
1041.0,1041.0,66181.0,243.56283903235067,79.11773394176576,1179.0563908070292,255.99901
1042.0,1042.0,66919.0,4.897267592163661,167.19201945635768,286.04052660679326,167.09346
1043.0,1043.0,66882.0,-273.5209323883855,-67.97897042552555,609.7053766334739,281.67322
1045.0,1045.0,64906.0,-89.87787723785166,184.65055618895016,1011.1352725479925,205.59442
1047.0,1047.0,66326.0,56.07717938666586,-27.035627054247204,272.36400506588666,62.047653
1052.0,1052.0,68274.0,-150.14788938688227,101.45419193250726,104.56169259161614,180.97762
1053.0,1053.0,67706.0,285.9347694443624,-13.569336543290108,983.3912651759076,285.4931
1060.0,1060.0,66228.0,-208.24278250890862,114.6837364860784,1010.2897716977714,237.6882
1061.0,1061.0,66280.0,13.013375075437537,-257.6301071213036,1138.444342184671,258.1132
1063.0,1063.0,67408.0,-134.2235639686684,-214.44459856396867,133.48240564918112,253.73825
1074.0,1074.0,66128.0,-282.33652159448343,31.46655728284539,346.66868799903216,283.9496
1075.0,1075.0,66649.0,-57.79893546789899,240.47503713484073,353.93086167834474,246.98747
1080.0,1080.0,66242.0,-59.11507804716041,-132.05654267685154,896.9480541046466,145.01465
1087.0,1087.0,67497.0,104.45921670592767,-75.34434493384892,185.24864808806316,128.49194
1088.0,1088.0,65758.0,76.46027099364336,-39.654315824690535,867.1832932875087,86.68664
1094.0,1094.0,66456.0,-76.34883231009992,151.95190050559768,122.91430420127604,169.82948
1101.0,1101.0,67347.0,-1.3030313154260769,53.72465365940577,1155.894575853416,53.88889
1102.0,1102.0,66901.0,-97.75339307334718,258.0566770302387,615.3072151387871,275.64148
1105.0,1105.0,66252.0,255.22342721729154,-49.24430960574775,738.3371520859747,259.24377
1108.0,1108.0,66542.0,126.05622764569745,67.47579724084036,176.34071714105377,142.74289
1112.0,1112.0,67250.0,-276.00406691449814,108.69684758364312,757.5543494423791,295.649
1116.0,1116.0,68047.0,23.18536085352771,-275.0912935177157,753.6798242391288,275.33105
1117.0,1117.0,67943.0,75.43697290375756,-31.640886478371577,402.6394919270565,81.37495
1126.0,1126.0,65851.0,10.516533537835416,23.209021123445353,1160.8369197126847,25.975632
1130.0,1130.0,66038.0,63.095422332596385,163.2649156546231,889.2441170235319,175.28024
1138.0,1138.0,66547.0,179.858231776038,136.89662569311915,943.8333809187492,226.23332
1139.0,1139.0,66155.0,153.2258597233769,127.48007331267478,874.7903106341168,199.34439
1140.0,1140.0,67831.0,277.8815180374755,49.51860874821247,888.672258996624,281.84183
1141.0,1141.0,66457.0,180.27469265841071,-95.9110138886799,230.88390989662489,204.1475
1144.0,1144.0,66823.0,205.622409200425,67.3962969336905,471.4909986082636,216.03754
1149.0,1149.0,67412.0,35.21772088055539,-272.95728505310626,385.12576395893905,275.02365
1153.0,1153.0,65986.0,149.29633558633648,165.30789864516714,487.4761919194981,222.34985
1158.0,1158.0,66764.0,161.13284854112996,104.70504313701996,558.2769306812054,192.24911
1160.0,1160.0,66966.0,-238.84665352566975,48.12528745930771,104.03761610369442,243.44853
1169.0,1169.0,65498.0,42.09257534581209,-163.9717624965648,939.1346758679655,168.99902
1176.0,1176.0,67445.0,14.913688931722143,-177.07590258729334,1152.6560011861516,177.74745
1179.0,1179.0,66623.0,48.45853909310598,273.8996780391156,996.3536466385483,277.63647
1183.0,1183.0,66546.0,-240.84877378054279,152.91522405554053,215.68390286418418,284.93253
1185.0,1185.0,65516.0,-57.1851914036266,178.7487407656145,448.92255326943035,187.477
1189.0,1189.0,66897.0,-112.42187616784011,161.87797285379017,369.5818497092545,197.07625
1190.0,1190.0,67608.0,-65.68167228730327,-255.26384451544195,879.6568157614483,263.33487
1195.0,1195.0,66810.0,43.16293967968867,208.297620116749,644.2879359377339,212.39268
1196.0,1196.0,67643.0,139.8053198409296,64.28490383336043,266.44659462176423,153.65718
1203.0,1203.0,65339.0,174.09487825035583,-25.8001002464072,320.02975252146496,176.18532
1205.0,1205.0,65072.0,123.24024926235555,52.416676911728544,867.5273696828128,133.9135
1207.0,1207.0,66298.0,5.84626987239434,-277.73954719599385,686.8745361851036,277.0958
1208.0,1208.0,66390.0,-177.96936285585178,-13.749420093387558,531.6507154691972,178.37137
1209.0,1209.0,65852.0,-167.84137156046893,109.5684489461216,217.3337484055154,200.64198
1210.0,1210.0,65829.0,57.571036321378116,48.387492594449256,500.0875753847089,75.21245
1211.0,1211.0,66038.0,281.1321360428844,71.14503770556347,803.2531875586783,289.48248
1212.0,1212.0,63915.0,-120.98601658452633,5.4265547993428775,401.8680278494876,121.28523
1213.0,1213.0,65623.0,30.692443960196883,-25.4515909056276,945.2686558066531,39.421925
1214.0,1214.0,66880.0,-286.95238486842106,33.28865131578947,949.4386363636364,288.5345
1217.0,1217.0,66567.0,-92.40247044331275,173.1910894286959,620.5782745204081,196.30122
1218.0,1218.0,66943.0,-105.7542050699849,-164.23801218947463,166.2873489386493,195.1619
1220.0,1220.0,64875.0,206.63667437379576,122.99072447013488,955.8862427745664,240.37073
1236.0,1236.0,66697.0,255.74892798776557,-103.89146813199994,943.4355518239202,275.27078
1237.0,1237.0,66942.0,-106.24172417914015,189.53235636819934,1163.2561769890353,217.75514
1240.0,1240.0,66750.0,-19.584614232209738,216.07534831460674,516.0882696629213,216.13339
1241.0,1241.0,66738.0,184.88654889268483,129.69518864814648,390.7553417842908,225.46407
1243.0,1243.0,66055.0,199.11502914238136,-216.80212323064114,1013.6369389145409,293.57773
1244.0,1244.0,66272.0,76.2453600313858,182.22376720183487,103.73095726702077,198.44325
1245.0,1245.0,66350.0,-205.55079125847777,-101.32458929917107,1156.8396232102486,229.03696
1248.0,1248.0,67153.0,-67.6821549297872,-40.531223474751684,335.8550474290054,78.78391
1249.0,1249.0,66925.0,71.52921553978334,75.58651849084796,1196.6869331341054,103.918564
1250.0,1250.0,64366.0,135.39291706801728,-152.07193238666378,297.8256688313706,203.26534
1253.0,1253.0,66622.0,6.1839707604094745,286.5814370628321,344.65380805139444,286.34396
1254.0,1254.0,65546.0,150.86694840264852,-89.74265401397491,367.50173923656666,175.39314
1259.0,1259.0,67131.0,41.35880219272765,234.91143063562288,369.23771431976286,238.11923
1263.0,1263.0,66877.0,40.86174245256217,102.47988471372818,319.13825380923186,110.442726
1264.0,1264.0,65578.0,55.75172313885754,158.1360288511391,228.793406325292,167.43176
1269.0,1269.0,64648.0,-7.566158272491029,-101.09908272491029,285.7850358866477,101.27533
1271.0,1271.0,66074.0,0.33579017465266214,-128.35025880073857,477.5389260526077,127.94238
1273.0,1273.0,67622.0,-145.44019697731508,243.89200260270326,1045.1288338114814,283.47723
1277.0,1277.0,66493.0,3.8239777119396026,128.35212353180034,846.6220504413999,128.2821
1280.0,1280.0,65726.0,-173.59501567111948,22.82969448924322,590.4587986489365,174.69286
1285.0,1285.0,67739.0,-188.77940698858856,-122.09104430239596,957.5088353828666,224.92276
1290.0,1290.0,66219.0,94.8942486295474,-64.93773312795422,273.73848895332156,115.08919
1293.0,1293.0,65950.0,129.7727293404094,50.744275966641396,562.3300833965125,138.85753
1298.0,1298.0,66095.0,-21.91815946743324,28.42887132158257,435.31238369014295,35.899467
1304.0,1304.0,67761.0,120.01028246336388,-233.22679343575214,581.9566269683152,261.758
1305.0,1305.0,65085.0,-14.280268110931859,-89.4842859337789,942.0613198125528,91.03037
1309.0,1309.0,65874.0,53.074824665270064,-191.23775692989648,154.82849075507787,198.68158
1315.0,1315.0,65817.0,-180.9653926797028,88.57714192381907,283.6720300226385,201.44534
1319.0,1319.0,65667.0,-6.732677752904808,-193.30334490687864,528.9726955700733,192.6101
1323.0,1323.0,67506.0,-39.12523331259444,-111.49163037359642,1118.7087073741593,117.91628
1327.0,1327.0,68114.0,131.29629004316294,-265.7555201573832,1079.5949731332767,295.67093
1330.0,1330.0,66965.0,138.32382961248413,-9.113540655566341,1195.5982677518107,138.88148
1331.0,1331.0,66488.0,138.13563349777402,2.7033449645048733,233.79281975694863,138.05614
1337.0,1337.0,64822.0,33.28678535065256,136.14896948566846,281.9883681466169,140.64328
1342.0,1342.0,66224.0,-142.97292522348394,-250.26270687364098,136.86326709350084,287.89096
1343.0,1343.0,66795.0,-167.26821992664122,148.25244030241785,549.9309978291789,223.57642
1347.0,1347.0,66124.0,-56.47472929647329,-45.69781017482306,1047.8181446978404,72.32325
1357.0,1357.0,64860.0,178.9667437557817,-93.98275516497071,778.4978106691335,201.96342
1358.0,1358.0,66888.0,-228.44306901088387,106.82102170792967,757.5608928357852,251.76846
1361.0,1361.0,66055.0,-29.283805162364697,289.98821815154037,931.7295889788812,291.2444
1362.0,1362.0,66294.0,-222.71407668868977,162.3358674993212,652.7461459558934,275.3409
1367.0,1367.0,66906.0,-179.47323857352106,-72.824238483843,939.3746300780199,193.70586
1371.0,1371.0,65675.0,-61.726246669204414,-171.3539969547012,755.1417434335744,182.04562
1373.0,1373.0,68251.0,280.46458293651375,-64.93132335057362,657.4327409122211,287.266
1374.0,1374.0,65618.0,38.27477978603432,-13.933310981742814,1162.7057362309122,40.380054
1376.0,1376.0,64387.0,129.3753979840651,268.69648764502153,1031.7037911379625,298.1551
1377.0,1377.0,67485.0,122.22008964955175,-110.2982477587612,517.0598799733274,164.21912
1378.0,1378.0,64270.0,128.79404854519993,108.60330636377782,636.365536019916,168.35727
1379.0,1379.0,66044.0,14.075449700199867,239.0581279147235,1148.418569438556,238.8932
1385.0,1385.0,66251.0,-17.90237505848968,47.84442121628353,1084.1462468491043,51.453556
1388.0,1388.0,64492.0,-215.4416826893258,41.08165353842337,257.9441326055945,218.97464
1392.0,1392.0,65612.0,-128.77470584649149,5.232175516673779,496.87569347070655,128.34984
1394.0,1394.0,66252.0,72.03329710801184,206.6243207752219,936.4180553039909,218.75125
1396.0,1396.0,65061.0,133.66278185087842,-113.47920797405511,1148.5639476798697,175.69359
1397.0,1397.0,67470.0,206.53384467170594,175.61173113976582,308.0291685193419,270.76038
1402.0,1402.0,67066.0,66.72348134673307,-166.914248650583,973.5267199475144,179.59796
1406.0,1406.0,66372.0,123.60705568613271,51.05539986741397,1034.6291960465257,133.04623
1408.0,1408.0,66938.0,-137.11291792404913,-186.51456571752965,1134.2163643969045,231.5252
1409.0,1409.0,66948.0,-8.548134372946167,224.78699139630757,996.6386150445121,224.42949
1410.0,1410.0,65698.0,48.37644220524217,-105.1960181436269,457.828990228013,115.64341
1411.0,1411.0,66199.0,-240.6513580265563,-5.973447484100968,1152.7690750615568,240.51315
1416.0,1416.0,65578.0,16.361195827869103,9.955991338558663,234.66696148098447,19.172773
1420.0,1420.0,66267.0,-244.58010397332006,-5.799745725625122,196.81263675736037,244.67825
1422.0,1422.0,66230.0,-108.27119130303488,191.1328476521214,821.2626302279933,219.25063
1423.0,1423.0,66168.0,-137.23899770281707,-82.80530619030347,927.1339771490751,160.1586
1424.0,1424.0,66369.0,19.95812427488737,-143.68405053564163,497.103466980066,144.76454
1431.0,1431.0,66856.0,-49.35150921383271,118.70295859758286,229.8540744286227,128.85405
1432.0,1432.0,65739.0,-11.944777833553903,236.48841251007772,134.5210909810006,236.564
1433.0,1433.0,67242.0,92.46235983462716,-92.16201183783944,111.38541387823086,130.62148
1436.0,1436.0,69071.0,-201.73093990241924,159.54144648260487,1089.7504451940756,256.86365
1440.0,1440.0,65166.0,-150.5180845839855,16.18155940214222,1108.827348617377,151.47011
1444.0,1444.0,66805.0,-267.1674088765811,81.70959883242273,890.1043933837287,278.58594
1460.0,1460.0,65588.0,14.03662255290602,-94.89772519363298,814.8248155150333,95.57378
1468.0,1468.0,67634.0,-246.05754502173463,-43.64877872076175,872.0068604548009,249.21065
1473.0,1473.0,67870.0,-209.6887358184765,-182.85,477.2226757035509,277.95688
1475.0,1475.0,68049.0,244.31799512116268,126.36740804420344,882.4043556848742,274.83493
1481.0,1481.0,66232.0,-128.1318471433748,70.57093247976809,1007.5577968353666,146.35942
1483.0,1483.0,66017.0,-170.50637335837737,174.9926344729388,1082.9829589348199,243.73398
1484.0,1484.0,66850.0,156.2032086761406,179.475325355273,923.212894540015,237.79079
1496.0,1496.0,66693.0,-115.7439798779482,-12.199529935675407,188.3224926154169,116.19979
1501.0,1501.0,65561.0,-14.497723494150486,234.9890750598679,342.23346196671804,235.54616
1502.0,1502.0,68651.0,-75.9265742669444,-13.04947123858356,302.41766325326654,77.018654
1503.0,1503.0,67547.0,-55.05141975217256,-268.53629694879123,363.4190859697692,273.48666
1509.0,1509.0,67716.0,-118.62873619233268,-224.20557179987006,218.85239825152107,253.45276
1510.0,1510.0,67416.0,-79.26556010442624,-94.1186439420909,173.38716328468018,122.75086
1513.0,1513.0,67791.0,-240.56141301942736,163.4530210499919,832.3679544482305,290.18332
1515.0,1515.0,66816.0,-241.23989762931035,108.10608237547893,1090.3826927681991,264.1448
1516.0,1516.0,67042.0,-57.40749082664598,-263.56347513499003,1037.405044598908,268.9251
1519.0,1519.0,67106.0,-71.9769245671028,-153.4146425058862,518.5573719190535,169.35107
1521.0,1521.0,67201.0,-62.227686343953216,34.98066621032425,140.86007648695704,71.31547
1522.0,1522.0,66413.0,-183.03518512941744,227.79840919699456,494.85270955987534,292.32034
1523.0,1523.0,67222.0,7.760234744577668,-87.83063580375472,1018.5882151676534,88.67028
1546.0,1546.0,66245.0,-108.8822741338969,81.48572345082648,1170.9951543512718,135.91273
1553.0,1553.0,66365.0,-33.58936562947337,-170.1226286446169,1194.369863632939,173.32721
1554.0,1554.0,65853.0,148.3015162559033,-121.10711357113571,965.9425994259942,193.57893
1555.0,1555.0,67937.0,-5.816421831991404,248.45938516566818,454.45851303413457,248.67992
1559.0,1559.0,67564.0,172.2554836895388,-44.011559410336865,171.73471079272986,177.61205
1562.0,1562.0,65265.0,-167.25009959396309,122.60053244464874,1129.2382440818203,206.97946
1565.0,1565.0,66013.0,46.5448737369912,184.26616348295033,1176.6053959068668,190.02357
1569.0,1569.0,67326.0,40.12967501411045,-83.1565591302023,866.0598431512343,92.191414
1570.0,1570.0,66686.0,-39.04755870797469,247.42981285427226,1181.2164472303032,249.95341
1575.0,1575.0,67843.0,-72.77753415975118,-249.96244638356205,1174.1086773874977,259.89417
1578.0,1578.0,67635.0,-244.26777925630222,122.89542027056997,875.6774303245361,273.41888
1579.0,1579.0,67544.0,200.64878449603222,-83.2860283666943,425.4195931540921,216.93832
1592.0,1592.0,67527.0,-6.5817635908599526,145.1063093281206,751.1268825803012,145.46002
1593.0,1593.0,66771.0,-23.75339219122074,-64.41942235401596,428.55760734450587,68.49593
1599.0,1599.0,64754.0,-120.18035951447015,140.92329431386477,846.0383142354141,185.28917
1603.0,1603.0,67605.0,294.9056393757858,-20.466093484209747,892.166526144516,295.00797
1606.0,1606.0,65319.0,-232.64484682864096,134.31913761692616,608.3383701526355,268.0466
1607.0,1607.0,66712.0,126.20394381820363,217.69981412639405,1056.0122766518766,251.17764
1608.0,1608.0,65717.0,23.960698905914757,-16.158912457963694,572.0069844941187,28.865105
1611.0,1611.0,66574.0,115.81947156547601,-54.56247183585183,910.1222549343588,127.88735
1618.0,1618.0,66153.0,-32.14028464317567,144.51120508518133,489.99575227124996,148.06961
1625.0,1625.0,66062.0,-87.77263025642578,-213.54639580999668,541.4403136447579,230.66992
1628.0,1628.0,65388.0,95.73707713953631,157.9198476784731,1190.7668226585918,185.17172
1632.0,1632.0,65241.0,-163.3291603439555,213.26272972517282,682.6993301758097,268.42404
1633.0,1633.0,66150.0,-231.67097505668934,-147.8734240362812,344.8874678760393,274.1812
1637.0,1637.0,68617.0,253.8070412579973,46.024917294548,955.1217045338618,257.90805
1638.0,1638.0,66573.0,-280.05118816937795,-2.77238895648386,998.45240562991,279.9756
1641.0,1641.0,65410.0,157.21734444274577,153.47774805075676,303.0592417061611,219.77203
1642.0,1642.0,64570.0,-95.33321976149915,42.01882453151618,841.1859996902587,104.54639
1648.0,1648.0,66223.0,-70.28622608459297,152.3467941651692,986.0831433187865,167.35513
1649.0,1649.0,66462.0,106.53227408142999,40.7880668652764,121.09513707080738,114.12448
1653.0,1653.0,66723.0,-175.9853686135216,141.54687663923985,727.3904200950197,225.81952
1656.0,1656.0,66105.0,202.91996445049543,-126.93559866878451,681.8103017926027,239.10281
1659.0,1659.0,68072.0,190.85659301915618,-160.87112175343754,1198.716256316841,249.65617
1660.0,1660.0,67279.0,-42.161012351551,-173.0202031837572,1163.5263752433896,177.58138
1662.0,1662.0,67521.0,-43.77896876527303,275.16156825283986,152.5352853186416,278.14856
1663.0,1663.0,66144.0,-30.87812953555878,-286.27897466134493,536.794267053701,288.03723
1665.0,1665.0,66160.0,67.63628325272067,12.010467049576784,562.5574818621524,68.99764
1666.0,1666.0,64248.0,102.7412292989665,105.85428340181795,128.4895716598182,147.50667
1673.0,1673.0,66388.0,-197.45404289931915,130.4228550340423,129.6508405133458,236.68382
1674.0,1674.0,67120.0,22.262708581644816,-149.8214094159714,882.2021901072706,151.39934
1675.0,1675.0,67370.0,-255.16718123793973,113.03875612290337,660.2603235861659,278.76996
1677.0,1677.0,66689.0,236.74844801991333,-165.7806422348513,761.6289493019839,288.68445
1685.0,1685.0,66926.0,141.16113319188358,-114.24716104354063,812.2724352269671,181.15105
1688.0,1688.0,66478.0,192.1834591895063,50.98995908420831,499.19741869490656,199.0661
1689.0,1689.0,67145.0,235.6001526547025,108.06248789932236,443.6825824707722,259.3801
1691.0,1691.0,66104.0,-222.94411079511073,-71.89654181290088,504.43591915769093,233.58606
1692.0,1692.0,67379.0,-216.27495584677717,131.74348461686876,275.5570429955921,252.78859
1695.0,1695.0,66669.0,-149.40486957956472,-230.9927815026474,493.0284240051598,274.6607
1696.0,1696.0,66356.0,-45.693531858460425,74.56728856471156,389.9693622279824,87.480675
1699.0,1699.0,65946.0,206.90720437934067,-106.93615988839353,886.8038698328936,232.2603
1701.0,1701.0,66509.0,52.03342028898344,-218.42965237787368,1054.677848110782,225.29953
1703.0,1703.0,66846.0,-62.90335996170302,-108.17283756694492,687.6547586990994,125.166275
1705.0,1705.0,67460.0,-9.483056626148828,287.961036169582,582.9620219389268,288.2236
1706.0,1706.0,66625.0,-102.63751219512196,-153.13432270168855,836.7076472795497,184.90971
1709.0,1709.0,67814.0,211.4583493084024,28.93286784439791,713.4905034358687,213.24309
1713.0,1713.0,66462.0,-77.62619993379676,24.956223104932143,240.1500707171015,81.43329
1714.0,1714.0,66393.0,66.46850195050683,86.55257707890893,793.4021809528112,109.32111
1718.0,1718.0,67554.0,196.36296148266572,220.74748349468572,851.1449507061018,295.36877
1719.0,1719.0,66268.0,-247.24503531116073,-85.0424262087282,175.1750618699825,260.73904
1725.0,1725.0,66283.0,-156.4150196883062,217.97082585278275,1146.9664318150958,267.677
1733.0,1733.0,66519.0,75.15488431876607,85.33863632946978,312.38396548354604,113.673935
1735.0,1735.0,66778.0,-213.08270687951122,-92.90740213842882,308.1072658660038,232.3175
1736.0,1736.0,69015.0,-199.03740128957472,160.52903354343258,1106.7799029196551,255.2695
1739.0,1739.0,64832.0,-195.71837210019743,-43.83431792941757,1193.5366177196447,200.14235
1741.0,1741.0,65555.0,-203.09489360079323,36.90713522995958,390.0989245671573,206.61497
1754.0,1754.0,67193.0,-272.6107295402795,-111.21777938178084,223.89845668447606,293.65765
1759.0,1759.0,65676.0,-65.09991473293135,122.3152064681162,530.4329892198064,139.02132
